id;alias;x_1;y_1;x_2;y_2;page_number;uploaddate
1;Interactions Personal Loan Account copy;4391;1560;5619;467;90997;2020-04-19T06:05:35
2;transparent;7984;9149;8414;4884;47496;2020-04-18T22:14:41
3;Investment Account Indian Rupee;8562;938;5591;6795;92299;2020-04-18T16:10:26
4;Avon;9166;5928;4015;3892;33696;2020-04-19T05:13:55
5;innovative Shirt invoice;6258;6569;8748;1808;15425;2020-04-18T09:24:26
6;Sharable;8530;8229;1428;511;91069;2020-04-19T03:25:43
7;Road Wisconsin efficient;247;3521;1911;3598;35471;2020-04-18T14:02:52
8;USB;7239;364;8977;9129;75924;2020-04-18T22:14:20
9;XML;6557;4095;4909;2638;88966;2020-04-18T20:48:49
10;Adaptive Concrete Usability;6888;5962;1455;6458;53500;2020-04-18T23:43:08
