id;file;file_content_type;notes;file_type;uploaddate
1;../fake-data/blob/hipster.png;image/png;Bedfordshire;JPEG;2020-04-19T01:37:44
2;../fake-data/blob/hipster.png;image/png;Checking Account;PDF;2020-04-18T17:23:54
3;../fake-data/blob/hipster.png;image/png;Squares;GIF;2020-04-18T10:29:18
4;../fake-data/blob/hipster.png;image/png;transparent ROI;JPEG;2020-04-19T02:41:36
5;../fake-data/blob/hipster.png;image/png;Consultant Licensed European Unit of Account 17(E.U.A.-17);GIF;2020-04-19T06:03:24
6;../fake-data/blob/hipster.png;image/png;panel sticky;PDF;2020-04-18T20:34:01
7;../fake-data/blob/hipster.png;image/png;Credit Card Account;JPEG;2020-04-19T03:04:11
8;../fake-data/blob/hipster.png;image/png;Cotton;PDF;2020-04-18T12:06:02
9;../fake-data/blob/hipster.png;image/png;synthesize;GIF;2020-04-18T21:40:59
10;../fake-data/blob/hipster.png;image/png;Consultant calculating;JPEG;2020-04-18T13:58:04
